Region, Date_x, Frequency_x, Estimated Unemployment Rate (%)_x, Estimated Employed_x, Estimated Labour Participation Rate (%)_x,Area, Date_y, Frequency_y, Estimated Unemployment Rate (%)_y, Estimated Employed_y, Estimated Labour Participation Rate (%)_y,Region.1,longitude,latitude
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-05-2019, Monthly,3.65,11999139.0,43.24,Rural, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-06-2019, Monthly,3.05,11755881.0,42.05,Rural, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
